Generations	Time	GTA+	GTA-
[317]	time[317]= 8.143400e+01	97301749	892817651
[318]	time[318]= 8.178897e+01	97297614	892822345
[319]	time[319]= 8.214375e+01	97292713	892828248
[320]	time[320]= 8.249874e+01	97289410	892833389
[321]	time[321]= 8.285327e+01	97286562	892839010
[322]	time[322]= 8.320830e+01	97283073	892843949
[323]	time[323]= 8.356320e+01	97281346	892847056
[324]	time[324]= 8.391768e+01	97278290	892850446
[325]	time[325]= 8.427272e+01	97275219	892854028
[326]	time[326]= 8.462731e+01	97270611	892859528
[327]	time[327]= 8.498256e+01	97267760	892862171
[328]	time[328]= 8.533744e+01	97263515	892867399
[329]	time[329]= 8.569227e+01	97261296	892871430
[330]	time[330]= 8.604750e+01	97257891	892875860
[331]	time[331]= 8.640256e+01	97254942	892880839
[332]	time[332]= 8.675715e+01	97251603	892885827
[333]	time[333]= 8.711215e+01	97250120	892889719
[334]	time[334]= 8.746765e+01	97246994	892893768
[335]	time[335]= 8.782290e+01	97243262	892897835
[336]	time[336]= 8.817839e+01	97239948	892902125
[337]	time[337]= 8.853355e+01	97237974	892905351
[338]	time[338]= 8.888893e+01	97233379	892909642
[339]	time[339]= 8.924363e+01	97229290	892915185
[340]	time[340]= 8.959845e+01	97226617	892918954
[341]	time[341]= 8.995382e+01	97224745	892921623
[342]	time[342]= 9.030930e+01	97220682	892926401
[343]	time[343]= 9.066446e+01	97217452	892930962
[344]	time[344]= 9.101969e+01	97215728	892934381
[345]	time[345]= 9.137523e+01	97212764	892939422
[346]	time[346]= 9.173044e+01	97208942	892944320
[347]	time[347]= 9.208539e+01	97205728	892949000
[348]	time[348]= 9.244060e+01	97201739	892954357
[349]	time[349]= 9.279687e+01	97198655	892957806
[350]	time[350]= 9.315260e+01	97195309	892961761
[351]	time[351]= 9.350819e+01	97190881	892965627
[352]	time[352]= 9.386390e+01	97187376	892970357
[353]	time[353]= 9.421927e+01	97182566	892974736
[354]	time[354]= 9.457494e+01	97178596	892979434
[355]	time[355]= 9.493108e+01	97174409	892984799
[356]	time[356]= 9.528704e+01	97170550	892988265
[357]	time[357]= 9.564230e+01	97167138	892990672
[358]	time[358]= 9.599767e+01	97163804	892995392
[359]	time[359]= 9.635282e+01	97161346	892999470
[360]	time[360]= 9.670854e+01	97156111	893003028
[361]	time[361]= 9.706416e+01	97153067	893006959
[362]	time[362]= 9.741989e+01	97150871	893010637
[363]	time[363]= 9.777581e+01	97146876	893014511
[364]	time[364]= 9.813243e+01	97144920	893017366
[365]	time[365]= 9.848851e+01	97141039	893022368
[366]	time[366]= 9.884475e+01	97137272	893025935
[367]	time[367]= 9.920038e+01	97133248	893030796
[368]	time[368]= 9.955585e+01	97128834	893035269
[369]	time[369]= 9.991163e+01	97125485	893039213
[370]	time[370]= 1.002674e+02	97121466	893043050
[371]	time[371]= 1.006236e+02	97118740	893046202
[372]	time[372]= 1.009793e+02	97115336	893049690
[373]	time[373]= 1.013346e+02	97111022	893053711
[374]	time[374]= 1.016903e+02	97108332	893056986
[375]	time[375]= 1.020457e+02	97103550	893060697
[376]	time[376]= 1.024008e+02	97099124	893064690
[377]	time[377]= 1.027562e+02	97095095	893069481
[378]	time[378]= 1.031120e+02	97090920	893074739
[379]	time[379]= 1.034674e+02	97086706	893079662
[380]	time[380]= 1.038224e+02	97082757	893084485
[381]	time[381]= 1.041782e+02	97078570	893087703
[382]	time[382]= 1.045341e+02	97075109	893091299
[383]	time[383]= 1.048905e+02	97071563	893097527
[384]	time[384]= 1.052467e+02	97068424	893100709
[385]	time[385]= 1.056021e+02	97064341	893106530
[386]	time[386]= 1.059581e+02	97060865	893109882
[387]	time[387]= 1.063143e+02	97057420	893112482
[388]	time[388]= 1.066703e+02	97053318	893116764
[389]	time[389]= 1.070264e+02	97048448	893121412
[390]	time[390]= 1.073822e+02	97044193	893125247
[391]	time[391]= 1.077382e+02	97041987	893128275
[392]	time[392]= 1.080943e+02	97038632	893132896
[393]	time[393]= 1.084495e+02	97036247	893136156
[394]	time[394]= 1.088054e+02	97032841	893138750
[395]	time[395]= 1.091613e+02	97028802	893142309
[396]	time[396]= 1.095176e+02	97024437	893146476
[397]	time[397]= 1.098737e+02	97021907	893149430
[398]	time[398]= 1.102299e+02	97017818	893153210
[399]	time[399]= 1.105859e+02	97012947	893157520
[400]	time[400]= 1.109419e+02	97008352	893160914
[401]	time[401]= 1.112969e+02	97004564	893164473
[402]	time[402]= 1.116534e+02	97001006	893167377
[403]	time[403]= 1.120096e+02	96997319	893173031
[404]	time[404]= 1.123663e+02	96992553	893177468
[405]	time[405]= 1.127225e+02	96989303	893181681
[406]	time[406]= 1.130792e+02	96985004	893186294
[407]	time[407]= 1.134355e+02	96981897	893189537
[408]	time[408]= 1.137915e+02	96977571	893194002
[409]	time[409]= 1.141472e+02	96973992	893197798
[410]	time[410]= 1.145037e+02	96970419	893201382
[411]	time[411]= 1.148603e+02	96967870	893206714
[412]	time[412]= 1.152163e+02	96963628	893209994
[413]	time[413]= 1.155720e+02	96959614	893214979
[414]	time[414]= 1.159286e+02	96956000	893219311
[415]	time[415]= 1.162849e+02	96951282	893222586
[416]	time[416]= 1.166411e+02	96946986	893226634
[417]	time[417]= 1.169969e+02	96944333	893230774
[418]	time[418]= 1.173534e+02	96940877	893234997
[419]	time[419]= 1.177094e+02	96937963	893238355
[420]	time[420]= 1.180658e+02	96935039	893241997
[421]	time[421]= 1.184223e+02	96931606	893245823
[422]	time[422]= 1.187782e+02	96927529	893251418
[423]	time[423]= 1.191346e+02	96924473	893254893
[424]	time[424]= 1.194908e+02	96922399	893258344
[425]	time[425]= 1.198476e+02	96918208	893263040
[426]	time[426]= 1.202045e+02	96913772	893267595
[427]	time[427]= 1.205610e+02	96909787	893271655
[428]	time[428]= 1.209173e+02	96906837	893274747
[429]	time[429]= 1.212733e+02	96904000	893277786
[430]	time[430]= 1.216293e+02	96899849	893281283
[431]	time[431]= 1.219859e+02	96895109	893285013
[432]	time[432]= 1.223421e+02	96890716	893287649
[433]	time[433]= 1.226985e+02	96886993	893293228
[434]	time[434]= 1.230553e+02	96882294	893298649
[435]	time[435]= 1.234120e+02	96878833	893302797
[436]	time[436]= 1.237680e+02	96875433	893306586
[437]	time[437]= 1.241244e+02	96870907	893310470
[438]	time[438]= 1.244813e+02	96867377	893315328
[439]	time[439]= 1.248378e+02	96863024	893319407
[440]	time[440]= 1.251939e+02	96859874	893323815
[441]	time[441]= 1.255505e+02	96855140	893328397
[442]	time[442]= 1.259070e+02	96852278	893330916
[443]	time[443]= 1.262637e+02	96847570	893335598
[444]	time[444]= 1.266208e+02	96845853	893337767
[445]	time[445]= 1.269770e+02	96842229	893341254
[446]	time[446]= 1.273334e+02	96838594	893345351
[447]	time[447]= 1.276894e+02	96835064	893349914
[448]	time[448]= 1.280465e+02	96831222	893353950
[449]	time[449]= 1.284030e+02	96828141	893358459
[450]	time[450]= 1.287599e+02	96824390	893362132
[451]	time[451]= 1.291165e+02	96821359	893365938
[452]	time[452]= 1.294729e+02	96817226	893370274
[453]	time[453]= 1.298287e+02	96814634	893374216
[454]	time[454]= 1.301855e+02	96810882	893379243
[455]	time[455]= 1.305427e+02	96807791	893383007
[456]	time[456]= 1.308994e+02	96805403	893386569
[457]	time[457]= 1.312559e+02	96802971	893389052
[458]	time[458]= 1.316124e+02	96801128	893393383
[459]	time[459]= 1.319691e+02	96797454	893396940
[460]	time[460]= 1.323257e+02	96793839	893399974
[461]	time[461]= 1.326817e+02	96790739	893403750
[462]	time[462]= 1.330387e+02	96788244	893408156
[463]	time[463]= 1.333955e+02	96784764	893412379
[464]	time[464]= 1.337525e+02	96780428	893416958
[465]	time[465]= 1.341092e+02	96777619	893421018
[466]	time[466]= 1.344657e+02	96774782	893424486
[467]	time[467]= 1.348222e+02	96770705	893428464
[468]	time[468]= 1.351792e+02	96767771	893432752
[469]	time[469]= 1.355363e+02	96762914	893437444
[470]	time[470]= 1.358924e+02	96759436	893440772
[471]	time[471]= 1.362493e+02	96756280	893444356
[472]	time[472]= 1.366064e+02	96752328	893447991
[473]	time[473]= 1.369635e+02	96749540	893450997
[474]	time[474]= 1.373207e+02	96746697	893452825
[475]	time[475]= 1.376777e+02	96743999	893456311
[476]	time[476]= 1.380350e+02	96740103	893460569
[477]	time[477]= 1.383918e+02	96737276	893463712
[478]	time[478]= 1.387493e+02	96734278	893467720
[479]	time[479]= 1.391063e+02	96731279	893472618
[480]	time[480]= 1.394631e+02	96728012	893477116
[481]	time[481]= 1.398206e+02	96723581	893482442
[482]	time[482]= 1.401777e+02	96720421	893486600
[483]	time[483]= 1.405351e+02	96717465	893490485
[484]	time[484]= 1.408924e+02	96714904	893493204
[485]	time[485]= 1.412486e+02	96711862	893495663
[486]	time[486]= 1.416057e+02	96708475	893499203
[487]	time[487]= 1.419636e+02	96705429	893503073
[488]	time[488]= 1.423204e+02	96701763	893506514
[489]	time[489]= 1.426780e+02	96698736	893509968
[490]	time[490]= 1.430354e+02	96694922	893514332
[491]	time[491]= 1.433922e+02	96691020	893518210
[492]	time[492]= 1.437497e+02	96688097	893521868
[493]	time[493]= 1.441075e+02	96683692	893525704
[494]	time[494]= 1.444649e+02	96679176	893529602
[495]	time[495]= 1.448226e+02	96675066	893533577
[496]	time[496]= 1.451799e+02	96671210	893537241
[497]	time[497]= 1.455373e+02	96668586	893541074
[498]	time[498]= 1.458945e+02	96663992	893545434
[499]	time[499]= 1.462512e+02	96660685	893549776
[500]	time[500]= 1.466085e+02	96656421	893554075
[501]	time[501]= 1.469657e+02	96652655	893558707
[502]	time[502]= 1.473233e+02	96648286	893563339
[503]	time[503]= 1.476808e+02	96645271	893566879
[504]	time[504]= 1.480384e+02	96640305	893570609
[505]	time[505]= 1.483958e+02	96636301	893574407
[506]	time[506]= 1.487535e+02	96633583	893577731
[507]	time[507]= 1.491111e+02	96630193	893580541
[508]	time[508]= 1.494685e+02	96627002	893583833
[509]	time[509]= 1.498262e+02	96623707	893588751
[510]	time[510]= 1.501834e+02	96619279	893592323
[511]	time[511]= 1.505408e+02	96614668	893596817
[512]	time[512]= 1.508991e+02	96610243	893601026
[513]	time[513]= 1.512565e+02	96606579	893604565
[514]	time[514]= 1.516142e+02	96604961	893608065
[515]	time[515]= 1.519717e+02	96600731	893612780
[516]	time[516]= 1.523291e+02	96596561	893616805
[517]	time[517]= 1.526866e+02	96593790	893620584
[518]	time[518]= 1.530440e+02	96589717	893625105
[519]	time[519]= 1.534011e+02	96584529	893629810
[520]	time[520]= 1.537591e+02	96580725	893633920
[521]	time[521]= 1.541174e+02	96575387	893639254
[522]	time[522]= 1.544756e+02	96572444	893643436
[523]	time[523]= 1.548337e+02	96569227	893647243
[524]	time[524]= 1.551919e+02	96566443	893650501
[525]	time[525]= 1.555495e+02	96564507	893654621
[526]	time[526]= 1.559068e+02	96561482	893658232
[527]	time[527]= 1.562648e+02	96558596	893661018
[528]	time[528]= 1.566224e+02	96554492	893665944
[529]	time[529]= 1.569798e+02	96550611	893669553
[530]	time[530]= 1.573367e+02	96546537	893673639
[531]	time[531]= 1.576943e+02	96542422	893677737
[532]	time[532]= 1.580516e+02	96537247	893682672
[533]	time[533]= 1.584091e+02	96533597	893686112
[534]	time[534]= 1.587665e+02	96530352	893690082
[535]	time[535]= 1.591240e+02	96528903	893693367
